,prod_name,rating,rating_count,desc,profile,vitolas,Binder,Filler,Flavored,Has Tip,More Details,Origin,Pressed,Profile,Shapes,Sweet,Wrapper,Brand:
10,5 Vegas Series A,Rated 4.52 out of 5, Based on 686 Ratings ,"Magnificent from A to B.Quite frankly, this has got to be one of the best handmades to ever land at CI, one that has nearly caused our cigar-crazed staff to come unhinged. Covered in a juicy Costa Rican maduro wrapper, it is breathtaking - like an ocean of dark chocolatey goodness - and will make you fumble, stumble and bumble for cutter and lighter. The toothy, dark wrapper in turn hugs a 3-country long-filler blend of 4-year-aged tobaccos, and the whole thing rests for 6 additional months after rolling. 5 Vegas Series 'A' delivers a panoply of robust, medium to full-bodied flavors, including subtle spices and coffee-like notes. The flavorful bouquet includes heavy doses of toasty earthiness served up in a rich but ultimately smooth fashion. The aftertaste is long and pleasant, featuring an enjoyable sweetness that relaxes your palate. The presentation is terrific: nestled inside an attractive, dark, Spanish cedar box, each cigar is handsomely dressed in cedar sleeves. Lastly, for just a few bucks per stick I will boldly state that this cigar may very well be the best bargain in the entire industry. If you are a fan of medium to full-bodied cigars, you owe it to yourself to pull the trigger on a box of ‘A’.Note: The 'Apex' and 'Archetype' sizes both feature box-pressed cigars.",Medium-Full,"['Churchill', 'Corona', 'Gordo', 'Perfecto', 'Robusto', 'Rothschild', 'Toro', 'Torpedo']",Nicaraguan,"Dominican, Honduran, Nicaraguan",False,No,More Details,Nicaragua,Varies,,"Churchill, Corona, Gordo, Perfecto, Robusto, Rothschild, Toro, Torpedo",No,Costa Rican,5 Vegas
11,5 Vegas Triple-A,Rated 4.58 out of 5, Based on 117 Ratings ,"5 Vegas + AJ... A Match Made in HeavenI don't want to overstate it, but this cigar is an opportunity for moral improvement....something to enrich your future, broaden your horizons and elevate your standing among peers. It's widely accepted among cigar experts that your transformation from deviant to upstanding citizen will be complete after nubbing your first 5 Vegas Triple-A. I made that up. But it's true that if you like gloriously full and rich, deep and dense blends, you are gonna find Triple-A shockingly refreshing.This devilish handmade is a marvelous creation of bold, finely aged tobaccos precision blended to generate a uniquely satisfying profile. The heart of this blend is its Cuban-seed Nicaraguan ligeros. Fillers from Esteli were chosen for richness and body, Condega fillers were added to promote a dense, aromatic bouquet, and tobaccos from Jalapa contribute balance and smoothness. Together this fine recipe, when topped off with a thick and oily Pennsylvania Broadleaf maduro wrapper - a coal-black beauty that generates a rich array of searing flavors - delivers a full-flavored experience to the core, with cascading notes of oak, leather, espresso, and toasty spices throughout. A hint of sweetness lingers after each puff, just before the dense, charcoal-like aroma fills the nostrils. Each of the flavors seems to come consecutively, a series of layered sensations that hits your senses without overwhelming the palate at any given point. Man. I just re-read that. Was it over the top? All I know is I am diggin' this cigar - it's become #1 in my rotation among full-bodied 'gars. ",Full,['Robusto'],Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,Robusto,No,Maduro,5 Vegas
12,601 Blue Label Maduro,Rated 4.69 out of 5, Based on 26 Ratings ,"A box-press beauty from Erik Espinosa.As if 601 Serie wasn't good enough, Erik Espinosa decided to raise the bar with this maduro-wrapped lovely finished in box-pressed format. On the outside, a dark Nicaraguan maduro glistens with oils and boasts a mouthwatering, toothy texture. Inside, a robust blend of aged Cuban-seed long-leaf tobaccos marries to promote a rich, medium to full-bodied profile layered with satisfying flavors.Expect a classic combination of earth and coffee complemented by a touch of spice on the finish. Naturally, quality is top-notch with each slow-burning cigar, so sit back and savor this impressive super-premium. Stack 601 up against any other box-pressed maduro on the market — we're sure you'll be pleasantly surprised.601 Blue Label Maduro received a healthy, 93-point rating, which noted: ""A thick, box-pressed cigar with a triple-seam cap and dark, clean wrapper. The substantial draw layers the palate with a chewy, complex smoke full of dark-roasted espresso bean flavours, touches of almond, and caramel.""",Full,"['Gordo', 'Robusto', 'Toro', 'Torpedo']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,Yes,,"Gordo, Robusto, Toro, Torpedo",No,Habano Maduro,601 Cigars
13,601 Green Oscuro,Rated 4.76 out of 5, Based on 29 Ratings ,"Another powerhouse from 601.Just when you thought 601 Serie couldn’t get any stronger, another fantastic, full-bodied brute has made its way onto the scene. Dressed in a dark, leathery Habano Oscuro wrapper from Nicaragua, this bold handmade employs an extensively aged mixture of Cuban-seed Nicaraguan long-fillers to create a real sparkplug of a cigar. Each 601 Green Oscuro is meticulously handmade to deliver a potent array of balanced flavor. Heavy in the hand and oily to the touch, the 601 Green Oscuro coats the palate with a dense bouquet loaded with rich, chocolatey flavors, coffee undertones, peppery nuances, and a long, toasty aftertaste.Great news! 601 Green Oscuro received a well-deserved, 90-point rating, noting: ""Dark and lush with good oils. This is a notably spicy perfecto with a core of leather flavors and a long finish. A medium- to full-bodied cigar.""",Medium-Full,"['Corona', 'Gordo', 'Robusto', 'Toro']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Corona, Gordo, Robusto, Toro",No,Habano Oscuro,601 Cigars
14,601 La Bomba,Rated 4.58 out of 5, Based on 53 Ratings ,"Insert bomb joke here.The 'bomb' jokes flow all too easy with this one, and normally I'd be joining the fun. But after seeing countless 'bomb' references strewn everywhere, I'm going to take the higher ground with a more direct approach. Introducing, the 601 La Bomba.​La Bomba hails from the mind and hands of Erik Espinosa, and just to preface something, the blend definitely isn't for the timid. Dressed in a dark, oily Nicaraguan Habano wrapper, and teeming with extra fermented, extra feisty Nicarguan ligero long-fillers, this is one of 601's strongest creations to date. About as subtle as a bull in a china shop, La Bomba has no warm up, no gradual build, it charges at you full-tilt from the very first puff. Underlying traces of red pepper, nuts, cocoa, leather and espresso all make a cameo. Full-bodied and balanced, it's no doubt one of the most intriguing handmades in the 601 portfolio.601 La Bomba has received numerous high ratings, including a 91-rating noting: ""A strong cigar with a bold, earthy combination of raw cocoa bean and salty leather. Despite its power and dense smoke, there are hints of chocolate on the finish.""",Full,"['Corona', 'Gordo', 'Robusto']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Corona, Gordo, Robusto",No,Habano,601 Cigars
15,601 Red Habano,Rated 4.25 out of 5, Based on 16 Ratings ,"Another gem from 601.Handmade in Erik Espinosa's boutique Nicaraguan factory, the 601 Serie Red employs a silky Nicaraguan Habano wrapper. It sorta reminds me of Cuba’s Ramon Allones Specially Selected (right down to the fur and smell). Nestled within this leaf, lies a potent blend of aged Nicaraguan long-fillers. Each 601 Red Label features dominant notes of earth and sweetness lingering on the back of the palate as waves of velvety flavor greets the senses. It's got some power, but the smoothness and balance help to mask its strength. Medium to full-bodied, and extremely well-made, you are in for a treat with the 601 Serie Red.601 Red Label Habano received a 93-rating, noting: ""A pointy torpedo whose nutty, woody core of cedar and walnuts is framed by notes of honeyed tea and a mineral finish.""",Medium,"['Gordo', 'Robusto', 'Toro', 'Torpedo']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Gordo, Robusto, Toro, Torpedo",No,Habano,601 Cigars
16,601 Snakebite,Rated 4.71 out of 5, Based on 17 Ratings ,"Venomously flavorful 601 cigars can do anything they want. It’s true – just check out some of Erik Espinosa’s past work. From the straight-laced Blue and Red Label, to the wild Wasabi, Espinosa is a font of great ideas, and today, we’re checking out his most recent blend: 601 Snakebite. Dismiss this cigar as a gimmick and you’d be dead wrong, my friend. Snakebite is the newest premium offering from Espinosa’s La Zona factory, and it’s good. Damn good indeed. Up front with 601 Snakebite you’ll find a deep, dark Sumatra wrapper leaf that’s been aged to perfection. Joined by binder and long-filler grown in the rich, volcanic soils of Esteli, Nicaragua, it’s no wonder this stick packs so much flavor. You might be expecting a powerhouse blend here, but it’s actually more of a medium-bodied morsel. Flavors of buttery smooth spice match up with leather and dark espresso to deliver a complex and enjoyable ride. ",Medium-Full,"['Churchill', 'Gordo', 'Robusto', 'Toro']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Gordo, Robusto, Toro",No,Ecuador Sumatra,601 Cigars
17,601 Steel,Rated 4.58 out of 5,,"Strong as steelHailing from La Zona – a factory claiming 2015 small operations factory of the year awards – comes another powerhouse blend from the 601 line. In this small factory in Estelí, Nicaragua, Erik Espinosa has been working hard with an excellent team of torcedores to produce boutique cigars that that have been taking 90+ ratings like they’re going out of style. 601 Steel is a Nicaraguan puro that employs a super dark Habano Oscuro wrapper atop Nicaraguan fillers and binder. With each puff you’ll be attacked by a full-body profile. Strong indeed, but easy enough on the palate to enjoy. Off the bat you’ll be barraged with red and black pepper but a few minutes in, the intensity settles and enjoyable notes of coffee, cocoa, cream, nuts, and cedar ensue. If you’re into the full-bodied boutiques, be sure to give this one a taste. ",Full,['Corona Extra'],Nicaraguan,Nicaraguan,False,,More Details,Nicaragua,No,,Corona Extra,No,Habano Oscuro,601 Cigars
18,601 White Connecticut,Rated 5 out of 5, Based on 2 Ratings ,"601 Connecticut - Here to stay601 Cigars are a highly rated boutique cigar brand produced by Erik Espinosa in his La Zona Factory in Esteli, Nicargaua. From the 93-rated Maduro, to the 92-rated Habano, and the 90-rated Oscuro, they’ve created a top-notch blend for most wrapper types out there. Over the years they’ve tried a few different Connecticut blends, but they all seemed to be pulled from the market shortly after their release. Well, we’ve got some good news - 601 White Label Connecticut is back, and this time it’s here to stay.  601 White Connecticut arrives in a light brown Ecuador Connecticut wrapper with a Cuban style triple cap. Underneath this mellow leaf are stronger tobaccos. A Nicaraguan binder and long-fillers from both Esteli and Jalapa, Nicaragua. Overall, it’s a smooth medium-bodied blend that stays interesting from start to finish. There are notes of hay, wood, a slight nuttiness, and a pleasant creaminess. Packaged in boxes of 15, this cigar has all the boutique charm you want, at prices you can afford. ",Medium,"['Churchill', 'Robusto', 'Toro']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Robusto, Toro",No,Ecuador Connecticut,
19,A. Flores AFR-75 San Andres Maduro,Rated 4.5 out of 5,,"A blend that fully honors the legacy.AFR-75 was released at the 2013 IPCPR as a tribute to Abe Flores, blender extraordinaire from Pinar del Rio. This is a rich and full-bodied blend topped in a dark, oily San Andres Maduro wrapper. The real treat comes on the inside, however, where a gorgeous blend of rare Nicaraguan Criollo ’98, Connecticut Broadleaf, and Dominican filler leaves impart plenty of flavor. The overall character is rich, creamy, and delightful. With a limited release of just 500 boxes per year, and available in your choice of three sizes, this is one you won’t want to pass up. ",Full,"['Gordo', 'Short Robusto']",,"Connecticut, Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Gordo, Short Robusto",No,Maduro,
20,A. Flores Gran Reserva Corojo,Rated 5 out of 5,,"This is a tribute.In the cigar world, tributes are fairly common. Blends are made to commemorate anniversaries, people, legacies, and legends. And this treasure from Pinar del Rio, first released at 2013’s IPCPR, also happens to pay homage to someone pretty darn special. This handmade is meticulously crafted in honor of Abe Flores, the man you probably know as one of the best and brightest blenders in the business. Each A. Flores Gran Reserva Corojo is crafted using a Dominican binder, a bevy of Nicaraguan Habano filler leaves, and topped in an extensively aged 2006 Dominican Corojo wrapper. The result is medium in body, rich, and creamy. Plus with a limited run it has that whole “exclusive and elusive” thing going for it. Have your fill now, or thoroughly regret it later.Note: A. Flores Gran Reserva has recently undergone a packaging update. We currently have a mix of old and new packaging, but the blend is exactly the same.",Medium,"['Gordo', 'Toro', 'Torpedo']",,"Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Gordo, Toro, Torpedo",No,Corojo,Pinar del Rio
21,A. Flores Gran Reserva Desflorado,Rated 4.74 out of 5,,"These flowers were picked just for you. Abe Flores has been studying the mastery of cigar making for years, and it’s evident with the cigar at hand. The third addition to the Gran Reserva line, dubbed Desflorado, makes use of a technique that redirects the nutrients gained from sunlight straight to the tobacco plant's leaf, by cutting off the flower off of the plant. Desflorado literally translates to deflower, and the technique’s result is immediately evident in Desflorado’s medium-bodied full-flavor.Strapped with a pristine Ecuadorian Connecticut seed wrapper and dual binders from Nicaragua and Ecuador, Desflorado is packed with supremely fermented long-fillers from the Dominican Republic and Nicaragua. This 3-country cocktail coats the palate with enjoyable notes of creamy cedar, raisin, and a very subtle spice. Try one for yourself to see just how much the Desflorado can enhance your cigar experience. ​Note: A. Flores Gran Reserva has recently undergone a packaging update. We currently have a mix of old and new packaging, but the blend is exactly the same.",Medium,"['Corona', 'Gordo', 'Toro', 'Torpedo']","Habano, Nicaraguan","Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Corona, Gordo, Toro, Torpedo",No,Ecuador Connecticut,Pinar del Rio
22,A. Flores Gran Reserva Sun Grown,Rated 4.5 out of 5,,"Blessed by the sunA. Flores Gran Reserve Sun Grown comes from one of the hottest boutique cigar makers in the game - PDR. The medium to full-bodied blend reminds people of the Corojo wrapped version, but with less intensity. What comes through is a smooth blend with notes of cream, hay, earth, and coffee to give you an experience you won't soon forget. This is a complex and enjoyable blend that surely deserves a place on your top shelf, and CI is bringing you boxes for the lowest price anywhere. Note: A. Flores Gran Reserva has recently undergone a packaging update. We currently have a mix of old and new packaging, but the blend is exactly the same.",Medium-Full,"['Corona', 'Gordo', 'Toro']",Dominican,"Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Corona, Gordo, Toro",No,"Ecuador Habano, Sun Grown",Pinar del Rio
23,A. Flores Serie Privada,Rated 4.5 out of 5, Based on 6 Ratings ,"So vintage.Pinar del Rio’s second release of 2012 utilizes some of the oldest tobacco on hand in the factory, which explains what makes it so good. This medium-bodied blend opens perfectly with a natural sweetness, then swiftly follows up with a kick of spice that will drive your palate wild. Serie Privada is available in two Ecuadorian wrappers – Habano or Maduro – so go ahead and take your pick. Created as a tribute to Abe Flores, a master blender responsible for a host of 90+ rated lovelies, this is one stunning handmade that will get your juices flowing.",Medium,"['Gordo', 'Robusto', 'Toro']","Habano, Nicaraguan","Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Gordo, Robusto, Toro",No,Ecuador Habano,Pinar del Rio
24,Abacus Cigars by Cult,Rated 4.67 out of 5,,"This Abacus equates to a fine cigarCult cigars are far from ordinary. You probably guessed that by the name. Starting out as a small boutique production at the TACASA factory in Esteli, Nicaragua, Cult has developed quite the following once word got out of the phenomenal quality put into their cigars. Abacus by Cult adds up to the same great taste and quality you expect. Featuring Nicaraguan fillers covered by a spicy Ecuador Habano wrapper, Abacus by Cult is riveted with flavor of black pepper, espresso, leather, and a hint of baking spice. Once you try a Cult cigar like Abacus, you’ll join the loyal bandwagon of this boutique brand.",Medium,['Torpedo'],,,False,No,More Details,Nicaragua,No,,Torpedo,No,Habano,Cult
25,ACID 20 by Drew Estate,Rated 4.75 out of 5, Based on 16 Ratings ,"20 years and they just won’t stop.20 years ago, a little cigar called ACID hit the market. If you haven’t heard of it, I’ll fill you in- It’s an absolutely delectable stick imbued with herbs, botanicals, and essential oils, with the recipe and infusion process one of the most closely-guarded secrets in the world of cigars. No one had seen anything like it and no one has been able to successfully copy them to this day, and there are tons of ACID blends to fit any palate. The ACID 20 is the latest addition to this impressive and unique portfolio, and it’s the best ACID released since the omnipresent Kuba Kuba. Featuring a sweet-tipped Mexican San Andres wrapper over an Indonesian binder and Nicaraguan fillers, this 5” x 52 box-pressed beauty is a blend truly deserving of this milestone release. The medium-bodied profile is the perfect expression of all that Drew Estate has learned from slingin’ ACIDs for 20 years. There’s nothing on the market quite like ACID, and no ACID like the 20, so make sure you grab enough to last you until their 40th anniversary release!",Medium,"['Robusto', 'Toro']",Indonesian,Nicaraguan,False,False,More Details,Nicaragua,Varies,,"Robusto, Toro",Varies,San Andres,Drew Estate Cigars
